A,TOTAL,T,Y_LT25,HLD,IS	20 	: 	: 	30 	: 
A,TOTAL,T,Y_LT25,HLD,IT	10770 	5030 	5040 	9850 	: 
A,TOTAL,T,Y_LT25,HLD,LT	1840 	1210 	1440 	840 	860 i
A,TOTAL,T,Y_LT25,HLD,LU	20 	20 	10 	10 	10 
A,TOTAL,T,Y_LT25,HLD,LV	470 	470 	400 	340 	: 
A,TOTAL,T,Y_LT25,HLD,ME	440 	: 	: 	: 	: 
A,TOTAL,T,Y_LT25,HLD,MK	: 	720 	: 	: 	: 
A,TOTAL,T,Y_LT25,HLD,MT	60 	60 	10 	40 	10 
A,TOTAL,T,Y_LT25,HLD,NL	150 	110 	210 	200 	200 
A,TOTAL,T,Y_LT25,HLD,NO	380 	240 	210 	340 	: 
A,TOTAL,T,Y_LT25,HLD,PL	18580 	14130 	10570 	15670 	: 
A,TOTAL,T,Y_LT25,HLD,PT	580 	450 	380 	890 	240 
A,TOTAL,T,Y_LT25,HLD,RO	33290 	13700 	7280 	24030 	10560 
A,TOTAL,T,Y_LT25,HLD,RS	3890 	: 	: 	: 	: 
A,TOTAL,T,Y_LT25,HLD,SE	230 	220 	280 	290 	340 
A,TOTAL,T,Y_LT25,HLD,SI	300 	350 	380 	280 	: 
A,TOTAL,T,Y_LT25,HLD,SK	170 	240 	510 	280 	270 
A,TOTAL,T,Y_LT25,HLD,UK	940 	960 	1340 	: 	: 
